Region,Date,Median Sale Price,Homes Sold,New Listings,Inventory,Inventory MoM ,Days on Market,Days on Market MoM,Days on Market YoY
"Auburn, WA",9/30/2016,$314K,176,136,300,-12.00%,19,2,-4
"Auburn, WA",10/31/2016,$340K,154,113,236,-21.30%,23,4,-1
"Auburn, WA",11/30/2016,$340K,177,89,195,-17.40%,27,4,-6
"Auburn, WA",12/31/2016,$327K,124,114,160,-17.90%,42,15,-8
"Auburn, WA",1/31/2017,$329K,124,120,145,-9.40%,35,-7,0
"Auburn, WA",2/28/2017,$373K,173,193,158,9.00%,20,-15,5
"Auburn, WA",3/31/2017,$365K,138,225,188,19.00%,9,-11,-2
"Auburn, WA",4/30/2017,$370K,192,229,205,9.00%,7,-2,-1
"Auburn, WA",5/31/2017,$350K,203,212,219,6.80%,9,2,0
"Auburn, WA",6/30/2017,$355K,160,228,273,24.70%,11,2,-2
"Auburn, WA",7/31/2017,$361K,191,231,304,11.40%,11,0,-8
"Auburn, WA",8/31/2017,$375K,176,185,296,-2.60%,14,3,-3
"Auburn, WA",9/30/2017,$365K,174,162,262,-11.50%,24,10,5
"Auburn, WA",10/31/2017,$353K,162,102,201,-23.30%,23,-1,0
"Auburn, WA",11/30/2017,$370K,145,61,131,-34.80%,26,3,-1
"Auburn, WA",12/31/2017,$360K,113,112,102,-22.10%,32,6,-10
"Auburn, WA",1/31/2018,$395K,115,113,103,1.00%,19,-13,-16
"Auburn, WA",2/28/2018,$400K,139,192,125,21.40%,6,-13,-14
"Auburn, WA",3/31/2018,$390K,167,217,150,20.00%,7,1,-2
"Auburn, WA",4/30/2018,$390K,185,254,193,28.70%,6,-1,-1
"Auburn, WA",5/31/2018,$408K,192,243,263,36.30%,7,1,-2
"Auburn, WA",6/30/2018,$400K,184,203,302,14.80%,10,3,-1
"Auburn, WA",7/31/2018,$387K,154,219,348,15.20%,12,2,1
"Auburn, WA",8/31/2018,$388K,130,151,331,-4.90%,17,5,3
"Auburn, WA",9/30/2018,$368K,146,134,317,-4.20%,20,3,-4
"Auburn, WA",10/31/2018,$394K,136,92,261,-17.70%,28,8,5
"Auburn, WA",11/30/2018,$378K,95,46,187,-28.40%,47,19,21
"Auburn, WA",12/31/2018,$384K,112,86,161,-13.90%,43,-4,11
"Auburn, WA",1/31/2019,$400K,91,98,156,-3.10%,30,-13,11
"Auburn, WA",2/28/2019,$438K,131,161,163,4.50%,14,-16,8
"Auburn, WA",3/31/2019,$408K,122,163,172,5.50%,8,-6,1
"Auburn, WA",4/30/2019,$440K,139,251,235,36.60%,9,1,3
"Auburn, WA",5/31/2019,$415K,184,188,217,-7.70%,8,-1,1
"Auburn, WA",6/30/2019,$415K,175,137,196,-9.70%,10,2,0
"Auburn, WA",7/31/2019,$405K,151,175,220,12.20%,16,6,4
"Auburn, WA",8/31/2019,$430K,141,136,195,-11.40%,15,-1,-2
"Auburn, WA",9/30/2019,$412K,162,119,161,-17.40%,12,-3,-8
"Auburn, WA",10/31/2019,$430K,101,81,134,-16.80%,18,6,-10
"Auburn, WA",11/30/2019,$400K,130,63,112,-16.40%,17,-1,-30
"Auburn, WA",12/31/2019,$420K,70,114,112,0.00%,19,2,-24
"Auburn, WA",1/31/2020,$459K,97,154,127,13.40%,14,-5,-16
"Auburn, WA",2/29/2020,$435K,131,156,151,18.90%,6,-8,-8
"Auburn, WA",3/31/2020,$445K,105,124,166,9.90%,5,-1,-3
"Auburn, WA",4/30/2020,$425K,107,145,149,-10.20%,9,4,0
"Auburn, WA",5/31/2020,$440K,145,186,148,-0.70%,11,2,3
"Auburn, WA",6/30/2020,$475K,183,227,151,2.00%,7,-4,-3
"Auburn, WA",7/31/2020,$466K,209,209,153,1.30%,6,-1,-10
"Auburn, WA",8/31/2020,$493K,180,173,129,-15.70%,7,1,-8
"Auburn, WA",9/30/2020,$483K,200,155,105,-18.60%,7,0,-5
"Auburn, WA",10/31/2020,$480K,175,98,79,-24.80%,6,-1,-12
"Auburn, WA",11/30/2020,$502K,153,82,45,-43.00%,7,1,-10
"Auburn, WA",12/31/2020,$477K,86,123,57,26.70%,6,-1,-13
"Auburn, WA",1/31/2021,$495K,100,129,52,-8.80%,5,-1,-9
"Bainbridge Island, WA",1/31/2012,$407K,29,52,207,11.30%,129,-38,-24
"Bainbridge Island, WA",2/29/2012,$483K,24,54,209,1.00%,98,-31,6
"Bainbridge Island, WA",3/31/2012,$500K,39,48,186,-11.00%,84,-14,-93
"Bainbridge Island, WA",4/30/2012,$527K,48,84,213,14.50%,95,11,-46
"Bainbridge Island, WA",5/31/2012,$453K,51,67,215,0.90%,53,-42,-20
"Bainbridge Island, WA",6/30/2012,$535K,53,45,196,-8.80%,32,-21,-12
"Bainbridge Island, WA",7/31/2012,$497K,56,49,201,2.60%,72,40,35
"Bainbridge Island, WA",8/31/2012,$396K,34,43,189,-6.00%,61,-11,-14
"Bainbridge Island, WA",9/30/2012,$498K,48,24,163,-13.80%,74,13,8
"Bainbridge Island, WA",10/31/2012,$425K,28,23,143,-12.30%,84,10,-11
"Bainbridge Island, WA",11/30/2012,$386K,42,10,117,-18.20%,75,-9,-1
"Bainbridge Island, WA",12/31/2012,$349K,24,40,122,4.30%,111,36,-56
"Bainbridge Island, WA",1/31/2013,$425K,31,40,114,-6.60%,94,-17,-35
"Bainbridge Island, WA",2/28/2013,$499K,39,68,120,5.30%,88,-6,-10
"Bainbridge Island, WA",3/31/2013,$485K,47,66,148,23.30%,13,-75,-71
"Bainbridge Island, WA",4/30/2013,$465K,46,69,150,1.40%,12,-1,-83
"Bainbridge Island, WA",5/31/2013,$515K,55,77,153,2.00%,31,19,-22
"Bainbridge Island, WA",6/30/2013,$509K,63,56,158,3.30%,47,16,15
"Bainbridge Island, WA",7/31/2013,$530K,49,38,142,-10.10%,39,-8,-33
"Bainbridge Island, WA",8/31/2013,$555K,53,40,135,-4.90%,46,7,-15
"Bainbridge Island, WA",9/30/2013,$465K,29,49,136,0.70%,51,5,-23
"Bainbridge Island, WA",10/31/2013,$513K,32,22,109,-19.90%,61,10,-23
"Bainbridge Island, WA",11/30/2013,$483K,35,13,92,-15.60%,40,-21,-35
"Bainbridge Island, WA",12/31/2013,$490K,27,27,80,-13.00%,85,45,-26
"Bainbridge Island, WA",1/31/2014,$460K,35,38,83,3.80%,21,-64,-73
"Bainbridge Island, WA",2/28/2014,$638K,29,43,89,7.20%,47,26,-41
"Bainbridge Island, WA",3/31/2014,$578K,35,84,117,31.50%,44,-3,31
"Bainbridge Island, WA",4/30/2014,$513K,28,61,111,-5.10%,9,-35,-3
"Bainbridge Island, WA",5/31/2014,$540K,67,72,143,28.80%,15,6,-16
"Bainbridge Island, WA",6/30/2014,$558K,52,79,162,13.30%,22,7,-25
"Bainbridge Island, WA",7/31/2014,$513K,61,55,161,-0.60%,21,-1,-18
"Bainbridge Island, WA",8/31/2014,$603K,42,31,138,-14.30%,34,13,-12
"Bainbridge Island, WA",9/30/2014,$568K,53,32,104,-24.60%,36,2,-15
"Bainbridge Island, WA",10/31/2014,$514K,37,17,73,-29.80%,58,22,-3
"Bainbridge Island, WA",11/30/2014,$699K,37,19,67,-8.20%,48,-10,8
"Bainbridge Island, WA",12/31/2014,$477K,15,36,64,-4.50%,35,-13,-50
"Bainbridge Island, WA",1/31/2015,$587K,29,42,56,-12.50%,20,-15,-1
"Bainbridge Island, WA",2/28/2015,$590K,45,53,65,16.10%,18,-2,-29
"Bainbridge Island, WA",3/31/2015,$661K,42,56,78,20.00%,10,-8,-34
"Bainbridge Island, WA",4/30/2015,$617K,49,61,81,3.80%,10,0,1
"Bainbridge Island, WA",5/31/2015,$628K,58,54,72,-11.10%,20,10,5
"Bainbridge Island, WA",6/30/2015,$621K,54,55,86,19.40%,8,-12,-14
"Bainbridge Island, WA",7/31/2015,$660K,36,39,71,-17.40%,8,0,-13
"Bainbridge Island, WA",8/31/2015,$500K,42,45,82,15.50%,19,11,-15
"Bainbridge Island, WA",9/30/2015,$727K,34,35,75,-8.50%,11,-8,-25
"Bainbridge Island, WA",10/31/2015,$690K,25,20,62,-17.30%,8,-3,-50
"Bainbridge Island, WA",11/30/2015,$686K,36,20,58,-6.50%,25,17,-23
"Bainbridge Island, WA",12/31/2015,$685K,19,27,60,3.40%,12,-13,-23
"Bainbridge Island, WA",1/31/2016,$542K,18,38,60,0.00%,17,5,-3
"Bainbridge Island, WA",2/29/2016,$649K,42,36,55,-8.30%,30,13,12
"Bainbridge Island, WA",3/31/2016,$675K,41,58,62,12.70%,13,-17,3
"Bainbridge Island, WA",4/30/2016,$682K,39,69,76,22.60%,8,-5,-2
"Bainbridge Island, WA",5/31/2016,$769K,51,78,97,27.60%,11,3,-9
"Bainbridge Island, WA",6/30/2016,$592K,51,77,125,28.90%,9,-2,1
"Bainbridge Island, WA",7/31/2016,$680K,53,79,130,4.00%,10,1,2
"Bainbridge Island, WA",8/31/2016,$609K,52,40,120,-7.70%,15,5,-4
"Bainbridge Island, WA",9/30/2016,$685K,47,38,105,-12.50%,20,5,9
"Bainbridge Island, WA",10/31/2016,$609K,37,26,90,-14.30%,45,25,37
"Bainbridge Island, WA",11/30/2016,$686K,34,25,83,-7.80%,36,-9,11
"Bainbridge Island, WA",12/31/2016,$694K,25,34,81,-2.40%,35,-1,23
"Bainbridge Island, WA",1/31/2017,$561K,19,28,73,-9.90%,83,48,66
"Bainbridge Island, WA",2/28/2017,$640K,41,52,90,23.30%,11,-72,-19
"Bainbridge Island, WA",3/31/2017,$693K,32,63,101,12.20%,13,2,0
"Bainbridge Island, WA",4/30/2017,$758K,61,88,102,1.00%,11,-2,3
"Bainbridge Island, WA",5/31/2017,$782K,75,68,98,-3.90%,11,0,0
"Bainbridge Island, WA",6/30/2017,$820K,63,74,114,16.30%,22,11,13
"Bainbridge Island, WA",7/31/2017,$805K,62,67,114,0.00%,11,-11,1
"Bainbridge Island, WA",8/31/2017,$915K,50,51,119,4.40%,20,9,5
"Bainbridge Island, WA",9/30/2017,$719K,42,34,79,-33.60%,20,0,0
"Bainbridge Island, WA",10/31/2017,$879K,60,29,72,-8.90%,40,20,-5
"Bainbridge Island, WA",11/30/2017,$799K,41,21,58,-19.40%,30,-10,-6
"Bainbridge Island, WA",12/31/2017,$864K,28,34,52,-10.30%,45,15,10
"Bainbridge Island, WA",1/31/2018,$828K,29,31,51,-1.90%,21,-24,-62
"Bainbridge Island, WA",2/28/2018,$838K,42,56,50,-2.00%,22,1,11
"Bainbridge Island, WA",3/31/2018,$815K,39,69,71,42.00%,9,-13,-4
"Bainbridge Island, WA",4/30/2018,$823K,60,90,96,35.20%,7,-2,-4
"Bainbridge Island, WA",5/31/2018,$805K,64,74,110,14.60%,10,3,-1
"Bainbridge Island, WA",6/30/2018,$955K,50,56,92,-16.40%,20,10,-2
"Bainbridge Island, WA",7/31/2018,$822K,70,57,105,14.10%,25,5,14
"Bainbridge Island, WA",8/31/2018,$824K,40,47,105,0.00%,37,12,17
"Bainbridge Island, WA",9/30/2018,$965K,42,33,90,-14.30%,26,-11,6
"Bainbridge Island, WA",10/31/2018,$699K,29,20,73,-18.90%,38,12,-2
"Bainbridge Island, WA",11/30/2018,$968K,28,12,57,-21.90%,38,0,8
"Bainbridge Island, WA",12/31/2018,$780K,21,30,57,0.00%,72,34,27
"Bainbridge Island, WA",1/31/2019,$635K,25,34,66,15.80%,60,-12,39
"Bainbridge Island, WA",2/28/2019,$828K,20,49,66,0.00%,12,-48,-10
"Bainbridge Island, WA",3/31/2019,$735K,45,72,83,25.80%,19,7,10
"Bainbridge Island, WA",4/30/2019,$918K,55,84,101,21.70%,7,-12,0
"Bainbridge Island, WA",5/31/2019,$979K,61,85,139,37.60%,18,11,8
"Bainbridge Island, WA",6/30/2019,$825K,53,58,137,-1.40%,12,-6,-8
"Bainbridge Island, WA",7/31/2019,$903K,48,31,107,-21.90%,25,13,0
"Bainbridge Island, WA",8/31/2019,$744K,42,49,102,-4.70%,30,5,-7
"Bainbridge Island, WA",9/30/2019,$914K,44,48,112,9.80%,44,14,18
"Bainbridge Island, WA",10/31/2019,$938K,29,25,85,-24.10%,81,37,43
"Bainbridge Island, WA",11/30/2019,$795K,45,13,52,-38.80%,52,-29,14
"Bainbridge Island, WA",12/31/2019,$681K,29,22,46,-11.50%,52,0,-20
"Bainbridge Island, WA",1/31/2020,$803K,24,34,48,4.30%,66,14,6
"Bainbridge Island, WA",2/29/2020,"$1,050K",31,62,78,62.50%,24,-42,12
"Bainbridge Island, WA",3/31/2020,$714K,32,35,77,-1.30%,8,-16,-11
"Bainbridge Island, WA",4/30/2020,$918K,29,58,73,-5.20%,26,18,19
"Bainbridge Island, WA",5/31/2020,$885K,61,63,67,-8.20%,9,-17,-9
"Bainbridge Island, WA",6/30/2020,$997K,62,75,73,9.00%,12,3,0
"Bainbridge Island, WA",7/31/2020,$895K,68,61,64,-12.30%,8,-4,-17
"Bainbridge Island, WA",8/31/2020,"$1,005K",68,71,68,6.30%,11,3,-19
"Bainbridge Island, WA",9/30/2020,"$1,087K",62,63,54,-20.60%,7,-4,-37
"Bainbridge Island, WA",10/31/2020,$970K,64,26,37,-31.50%,8,1,-73
"Bainbridge Island, WA",11/30/2020,$849K,43,20,26,-29.70%,22,14,-30
"Bainbridge Island, WA",12/31/2020,$842K,28,18,21,-19.20%,13,-9,-39
"Bainbridge Island, WA",1/31/2021,$872K,26,35,19,-9.50%,6,-7,-60
"Bellevue, WA",1/31/2012,$370K,121,191,486,-2.40%,60,-11,-17
"Bellevue, WA",2/29/2012,$418K,168,219,449,-7.60%,55,-5,-29
"Bellevue, WA",3/31/2012,$445K,181,229,479,6.70%,25,-30,-37
"Bellevue, WA",4/30/2012,$460K,189,245,477,-0.40%,24,-1,-27
"Bellevue, WA",5/31/2012,$485K,219,193,424,-11.10%,18,-6,-21
"Bellevue, WA",6/30/2012,$493K,191,235,436,2.80%,19,1,-24
"Bellevue, WA",7/31/2012,$508K,206,241,453,3.90%,17,-2,-25
"Bellevue, WA",8/31/2012,$507K,182,208,420,-7.30%,21,4,-29
"Bellevue, WA",9/30/2012,$503K,188,151,330,-21.40%,36,15,-8
"Bellevue, WA",10/31/2012,$500K,189,112,276,-16.40%,33,-3,-15
"Bellevue, WA",11/30/2012,$513K,164,79,230,-16.70%,25,-8,-62
"Bellevue, WA",12/31/2012,$488K,117,178,255,10.90%,22,-3,-49
"Bellevue, WA",1/31/2013,$547K,124,181,249,-2.40%,17,-5,-43
"Bellevue, WA",2/28/2013,$475K,173,212,263,5.60%,10,-7,-45
"Bellevue, WA",3/31/2013,$530K,191,284,313,19.00%,10,0,-15
"Bellevue, WA",4/30/2013,$546K,220,278,336,7.30%,7,-3,-17
"Bellevue, WA",5/31/2013,$570K,191,282,366,8.90%,7,0,-11
"Bellevue, WA",6/30/2013,$566K,281,296,395,7.90%,9,2,-10
"Bellevue, WA",7/31/2013,$526K,236,245,390,-1.30%,11,2,-6
"Bellevue, WA",8/31/2013,$578K,200,211,399,2.30%,10,-1,-11
"Bellevue, WA",9/30/2013,$538K,179,186,349,-12.50%,14,4,-22
"Bellevue, WA",10/31/2013,$505K,166,90,269,-22.90%,20,6,-13
"Bellevue, WA",11/30/2013,$531K,162,77,223,-17.10%,33,13,8
"Bellevue, WA",12/31/2013,$523K,106,121,201,-9.90%,36,3,14
"Bellevue, WA",1/31/2014,$503K,127,156,210,4.50%,27,-9,10
"Bellevue, WA",2/28/2014,$527K,154,202,208,-1.00%,7,-20,-3
"Bellevue, WA",3/31/2014,$550K,171,239,227,9.10%,7,0,-3
"Bellevue, WA",4/30/2014,$559K,162,290,291,28.20%,8,1,1
"Bellevue, WA",5/31/2014,$655K,215,262,337,15.80%,8,0,1
"Bellevue, WA",6/30/2014,$678K,204,283,396,17.50%,8,0,-1
"Bellevue, WA",7/31/2014,$620K,209,232,402,1.50%,14,6,3
"Bellevue, WA",8/31/2014,$617K,181,182,369,-8.20%,15,1,5
"Bellevue, WA",9/30/2014,$655K,206,211,360,-2.40%,27,12,13
"Bellevue, WA",10/31/2014,$614K,156,131,305,-15.30%,27,0,7
"Bellevue, WA",11/30/2014,$647K,166,70,251,-17.70%,28,1,-5
"Bellevue, WA",12/31/2014,$695K,112,145,239,-4.80%,27,-1,-9
"Bellevue, WA",1/31/2015,$596K,113,176,276,15.50%,23,-4,-4
"Bellevue, WA",2/28/2015,$620K,169,210,270,-2.20%,8,-15,1
"Bellevue, WA",3/31/2015,$648K,183,267,307,13.70%,7,-1,0
"Bellevue, WA",4/30/2015,$650K,205,280,346,12.70%,7,0,-1
"Bellevue, WA",5/31/2015,$653K,230,267,337,-2.60%,8,1,0
"Bellevue, WA",6/30/2015,$665K,270,235,322,-4.50%,9,1,1
"Bellevue, WA",7/31/2015,$653K,204,233,334,3.70%,13,4,-1
"Bellevue, WA",8/31/2015,$680K,208,201,320,-4.20%,9,-4,-6
"Bellevue, WA",9/30/2015,$622K,206,171,237,-25.90%,13,4,-14
"Bellevue, WA",10/31/2015,$586K,145,106,189,-20.30%,12,-1,-15
"Bellevue, WA",11/30/2015,$660K,151,65,134,-29.10%,24,12,-4
"Bellevue, WA",12/31/2015,$600K,101,134,151,12.70%,11,-13,-16
"Bellevue, WA",1/31/2016,$711K,117,148,139,-7.90%,9,-2,-14
"Bellevue, WA",2/29/2016,$738K,175,237,169,21.60%,8,-1,0
"Bellevue, WA",3/31/2016,$725K,165,256,199,17.80%,7,-1,0
"Bellevue, WA",4/30/2016,$745K,241,279,214,7.50%,7,0,0
"Bellevue, WA",5/31/2016,$765K,246,305,250,16.80%,7,0,-1
"Bellevue, WA",6/30/2016,$710K,229,270,315,26.00%,7,0,-2
"Bellevue, WA",7/31/2016,$730K,213,212,286,-9.20%,9,2,-4
"Bellevue, WA",8/31/2016,$690K,220,253,293,2.40%,12,3,3
"Bellevue, WA",9/30/2016,$729K,208,133,201,-31.40%,10,-2,-3
"Bellevue, WA",10/31/2016,$692K,209,106,139,-30.80%,10,0,-2
"Bellevue, WA",11/30/2016,$763K,146,67,93,-33.10%,14,4,-10
"Bellevue, WA",12/31/2016,$754K,107,137,86,-7.50%,11,-3,0
"Bellevue, WA",1/31/2017,$905K,114,113,84,-2.30%,7,-4,-2
"Bellevue, WA",2/28/2017,$897K,139,247,153,82.10%,6,-1,-2
"Bellevue, WA",3/31/2017,$878K,166,243,168,9.80%,6,0,-1
"Bellevue, WA",4/30/2017,$830K,228,282,193,14.90%,7,1,0
"Bellevue, WA",5/31/2017,$920K,236,291,216,11.90%,7,0,0
"Bellevue, WA",6/30/2017,$865K,224,251,225,4.20%,7,0,0
"Bellevue, WA",7/31/2017,$820K,242,223,198,-12.00%,8,1,-1
"Bellevue, WA",8/31/2017,$934K,220,224,218,10.10%,9,1,-3
"Bellevue, WA",9/30/2017,$850K,189,198,196,-10.10%,8,-1,-2
"Bellevue, WA",10/31/2017,$876K,160,106,118,-39.80%,8,0,-2
"Bellevue, WA",11/30/2017,$851K,188,60,80,-32.20%,14,6,0
"Bellevue, WA",12/31/2017,$910K,111,137,76,-5.00%,11,-3,0
"Bellevue, WA",1/31/2018,$890K,123,145,98,28.90%,6,-5,-1
"Bellevue, WA",2/28/2018,$935K,150,277,145,48.00%,7,1,1
"Bellevue, WA",3/31/2018,$894K,209,263,184,26.90%,7,0,1
"Bellevue, WA",4/30/2018,$908K,218,322,243,32.10%,6,-1,-1
"Bellevue, WA",5/31/2018,"$1,000K",243,303,304,25.10%,7,1,0
"Bellevue, WA",6/30/2018,$905K,198,233,346,13.80%,8,1,1
"Bellevue, WA",7/31/2018,$883K,184,226,384,11.00%,9,1,1
"Bellevue, WA",8/31/2018,$873K,144,257,448,16.70%,13,4,4
"Bellevue, WA",9/30/2018,$855K,153,195,409,-8.70%,16,3,8
"Bellevue, WA",10/31/2018,$848K,147,110,345,-15.60%,29,13,21
"Bellevue, WA",11/30/2018,$864K,116,77,266,-22.90%,41,12,27
"Bellevue, WA",12/31/2018,$885K,89,149,277,4.10%,38,-3,27
"Bellevue, WA",1/31/2019,$840K,109,143,265,-4.30%,52,14,46
"Bellevue, WA",2/28/2019,$924K,147,244,273,3.00%,9,-43,2
"Bellevue, WA",3/31/2019,$908K,192,267,289,5.90%,10,1,3
"Bellevue, WA",4/30/2019,$930K,267,301,351,21.50%,8,-2,2
"Bellevue, WA",5/31/2019,$945K,183,255,399,13.70%,9,1,2
"Bellevue, WA",6/30/2019,$938K,190,198,354,-11.30%,13,4,5
"Bellevue, WA",7/31/2019,$852K,214,155,307,-13.30%,20,7,11
"Bellevue, WA",8/31/2019,$884K,166,187,314,2.30%,15,-5,2
"Bellevue, WA",9/30/2019,$850K,146,142,256,-18.50%,21,6,5
"Bellevue, WA",10/31/2019,$870K,156,66,173,-32.40%,18,-3,-11
"Bellevue, WA",11/30/2019,$987K,128,47,111,-35.80%,32,14,-9
"Bellevue, WA",12/31/2019,$843K,78,121,99,-10.80%,42,10,4
"Bellevue, WA",1/31/2020,$912K,122,157,118,19.20%,7,-35,-45
"Bellevue, WA",2/29/2020,$995K,140,217,185,56.80%,6,-1,-3
"Bellevue, WA",3/31/2020,$915K,118,134,195,5.40%,6,0,-4
"Bellevue, WA",4/30/2020,$990K,96,206,231,18.50%,8,2,0
"Bellevue, WA",5/31/2020,$982K,162,230,248,7.40%,7,-1,-2
"Bellevue, WA",6/30/2020,$990K,183,255,280,12.90%,9,2,-4
"Bellevue, WA",7/31/2020,"$1,050K",185,260,312,11.40%,8,-1,-12
"Bellevue, WA",8/31/2020,"$1,096K",220,294,305,-2.20%,7,-1,-8
"Bellevue, WA",9/30/2020,"$1,133K",312,276,272,-10.80%,7,0,-14
"Bellevue, WA",10/31/2020,"$1,188K",237,162,204,-25.00%,11,4,-7
"Bellevue, WA",11/30/2020,"$1,063K",193,111,137,-32.80%,8,-3,-24
"Bellevue, WA",12/31/2020,$900K,135,151,124,-9.50%,23,15,-19
"Bellevue, WA",1/31/2021,"$1,036K",151,164,125,0.80%,6,-17,-1
"Bothell, WA",1/31/2012,$314K,117,155,339,-2.30%,74,-12,4
"Bothell, WA",2/29/2012,$325K,121,161,312,-8.00%,62,-12,-56
"Bothell, WA",3/31/2012,$315K,147,163,304,-2.60%,63,1,-16
"Bothell, WA",4/30/2012,$325K,142,177,304,0.00%,49,-14,-18
"Bothell, WA",5/31/2012,$318K,164,187,312,2.60%,32,-17,-34
"Bothell, WA",6/30/2012,$320K,151,178,303,-2.90%,30,-2,-40
"Bothell, WA",7/31/2012,$332K,161,154,301,-0.70%,21,-9,-49
"Bothell, WA",8/31/2012,$335K,159,140,276,-8.30%,20,-1,-48
"Bothell, WA",9/30/2012,$308K,131,105,238,-13.80%,27,7,-26
"Bothell, WA",10/31/2012,$325K,129,98,218,-8.40%,35,8,-28
"Bothell, WA",11/30/2012,$328K,156,99,214,-1.80%,25,-10,-50
"Bothell, WA",12/31/2012,$329K,98,131,196,-8.40%,40,15,-46
"Bothell, WA",1/31/2013,$351K,99,138,185,-5.60%,27,-13,-47
"Bothell, WA",2/28/2013,$365K,143,167,182,-1.60%,17,-10,-45
"Bothell, WA",3/31/2013,$372K,147,157,176,-3.30%,13,-4,-50
"Bothell, WA",4/30/2013,$382K,169,205,193,9.70%,12,-1,-37
"Bothell, WA",5/31/2013,$375K,170,199,235,21.80%,9,-3,-23
